Jurisdicción,Fuente,Fecha de carga,Año de Publicación de la Guia,Programa,ID Programas,Nombre Programa,Ministerio/ Organismo descentralizado,Secretaría ,Sub Secretaría ,Dirección/ unidad,Año de Implementacion Programa,Se encuentra bajo un Plan?,Plan,Clasificador A - Temática,Clasificador Sistema,Objetivo general,Objetivos específicos,Normativa,Población destinataria,Requisitos de Accesibilidad,Criterios de elegibilidad,¿Cuál es el alcance del programa?,Prestación,ID Prestación,Tipo de prestación,Modalidad de ejecución,Tipo de destinatario,Cargo Funcionario,Nombre Funcionario,Nombre Refrente
90.  Tucumán,2. Secundaria,2024-08-27,2023,PROGRAMA MODELO DE PREVENCIÓN DE SINIESTROS VIALES,,PROGRAMA MODELO DE PREVENCIÓN DE SINIESTROS VIALES,Ministerio de Salud ,Secretaría Ejecutiva Médica,Subsecretaria de Estado,Dirección de Emergencias Sanitarias,,3-Sin Información,,5-Educación,2-No contributivo,El objetivo principal del programa es prevenir los accidentes de tránsito y reducir el número de víctimas fatales y personas con discapacidad permanente causadas por lesiones de tránsito.,Reducción de Accidentes: Implementar estrategias y medidas concretas para reducir la cantidad de accidentes de tránsito en la región ; Disminución de Víctimas Fatales: Trabajar en la reducción del número de muertes causadas por accidentes de tránsito ; Prevención de Discapacidades Permanentes: Implementar medidas de prevención que reduzcan las lesiones graves que resultan en discapacidades permanentes debido a accidentes de tránsito.,SD,SD,SD,SD,SD,"Educación Vial: Desarrollar campañas de concienciación y programas educativos para promover el comportamiento seguro en las carreteras ; Mejora de Infraestructura Vial: Realizar mejoras en la infraestructura vial, como señalización adecuada, mantenimiento de carreteras y diseño de calles más seguras ; Aplicación de Leyes de Tránsito: Reforzar la aplicación de leyes de tránsito, incluyendo sanciones para conductores que infrinjan las normativas ;Atención Médica de Emergencia: Garantizar una atención médica de emergencia eficaz para las víctimas de accidentes de tránsito, con el objetivo de reducir las tasas de mortalidad.",,,,,Director de Emergencias Sanitarias,Dra. Dive Mohamed,
90.  Tucumán,2. Secundaria,2024-08-27,2023,PROGRAMA NACIONAL DE MUNICIPIOS Y COMUNAS SALUDABLES,,PROGRAMA NACIONAL DE MUNICIPIOS Y COMUNAS SALUDABLES,Ministerio de Salud ,Secretaría Ejecutiva Médica,Subsecretaria de Estado,Dirección General de Programa Integrado de Salud,,3-Sin Información,,4-Salud,2-No contributivo,"El objetivo principal del programa es fortalecer las capacidades de los municipios en la promoción y gestión de la salud a nivel local, con un enfoque en la coordinación con las provincias y la atención de los grupos vulnerables.","Fortalecimiento Municipal: Fortalecer las capacidades de los gobiernos municipales para promover y gestionar la salud en sus jurisdicciones ; Coordinación con Provincias: Fomentar una mayor coordinación y colaboración entre los municipios y las provincias en el ámbito de la salud ; Atención de Grupos Vulnerables: Priorizar la atención de grupos vulnerables, asegurando que tengan acceso a servicios de salud de calidad y asequibles.",SD,SD,SD,SD,SD,"Capacitación Municipal: Ofrecer capacitación y recursos a los municipios para fortalecer sus capacidades en la promoción de la salud y la gestión de servicios de salud locales ; Coordinación Interinstitucional: Establecer mecanismos de coordinación y colaboración entre municipios, provincias y el Ministerio de Salud de la Nación para mejorar la prestación de servicios de salud ; Atención a Grupos Vulnerables: Desarrollar estrategias y programas específicos para atender las necesidades de los grupos de población más vulnerables, como niños, ancianos y personas con discapacidades. Cobertura Sanitaria Universal: Promover la cobertura sanitaria universal, asegurando que todos los ciudadanos tengan acceso a servicios de salud esenciales y asequibles.",,,,,Director General de Programa Integrado de Salud,Elena Hurtado,
90.  Tucumán,2. Secundaria,2024-08-27,2023,PROGRAMA NACIONAL DE SALUD PARA PUEBLOS INDÍGENAS,,PROGRAMA NACIONAL DE SALUD PARA PUEBLOS INDÍGENAS,Ministerio de Salud ,Secretaría Ejecutiva Médica,Subsecretaria de Estado,,,3-Sin Información,,4-Salud,2-No contributivo,El objetivo principal del programa es mejorar la cobertura de salud y las condiciones de accesibilidad al Sistema Público de Salud en las Comunidades Indígenas de todo el país desde una perspectiva intercultural.,"Cobertura de Salud Mejorada: Mejorar la cobertura de salud en las comunidades indígenas, asegurando que tengan acceso a servicios de salud esenciales y de calidad ; Accesibilidad al Sistema de Salud: Facilitar el acceso de las comunidades indígenas al Sistema Público de Salud, eliminando barreras que puedan dificultar la atención médica ; Perspectiva Intercultural: Abordar las necesidades de salud de las comunidades indígenas desde una perspectiva intercultural, respetando sus prácticas y creencias tradicionales.",SD,SD,SD,SD,SD,"Agentes Sociosanitarios Becados: El programa cuenta con 35 agentes sociosanitarios becados que trabajan en las comunidades indígenas. Estos agentes desempeñan un papel crucial al proporcionar atención médica, educación sobre la salud y promoción de prácticas de salud en las comunidades ; Mejora de la Cobertura: Se implementan medidas para mejorar la cobertura de salud en las comunidades indígenas, lo que puede incluir la ampliación de servicios médicos, la provisión de medicamentos esenciales y la atención preventiva ; Accesibilidad: El programa se enfoca en eliminar barreras que dificultan el acceso de las comunidades indígenas al sistema de salud, ya sea debido a barreras geográficas, culturales o económicas ; Perspectiva Intercultural: Se promueve la comprensión y el respeto por las prácticas y creencias tradicionales de las comunidades indígenas en el contexto de la atención médica, asegurando que la atención sea culturalmente sensible.",,,,,,Dra. Eliana Molina,
90.  Tucumán,2. Secundaria,2024-08-27,2023,PROGRAMA PROVINCIAL DE EMERGENCIAS CARDIOVASCULARES EN RED,,PROGRAMA PROVINCIAL DE EMERGENCIAS CARDIOVASCULARES EN RED,Ministerio de Salud ,Secretaría Ejecutiva Médica,,Dirección de Salud Mental - SIPROSA,,3-Sin Información,,4-Salud,2-No contributivo,"El objetivo principal del programa es garantizar la atención de cualquier persona que tenga una emergencia cardiovascular en la provincia. Esto se logra a través de la habilitación de nodos asistenciales con tecnología de punta y la capacidad de proporcionar respuestas inmediatas a distancia mediante telemedicina, especialmente cuando se requiere la intervención de un profesional especializado.","Atención de Emergencias Cardiovasculares: Asegurar que cualquier persona que sufra una emergencia cardiovascular reciba atención médica inmediata y de calidad. Telemedicina: Utilizar la telemedicina y la tecnología de punta para brindar respuestas médicas a distancia, especialmente cuando se necesita la intervención de especialistas ; Potenciación de la Capacidad Asistencial: Mejorar y potenciar la capacidad asistencial del sistema de salud en la provincia, especialmente en lo que respecta a la atención de emergencias cardiovasculares.",SD,SD,SD,SD,SD,Nodos Asistenciales: El programa establece 11 nodos asistenciales distribuidos en todo el interior de la provincia. Estos nodos están equipados con tecnología de punta y personal capacitado para atender emergencias cardiovasculares ; Telemedicina: La telemedicina desempeña un papel crucial en el programa al permitir la comunicación a distancia con profesionales de la salud especializados. Esto asegura que las personas que sufren emergencias cardiovasculares reciban orientación y tratamiento adecuados de manera oportuna ; Profesionales Especializados: El programa garantiza la disponibilidad de profesionales médicos especializados en emergencias cardiovasculares que pueden brindar orientación y asistencia a distancia cuando sea necesario.,,,,,Director de Salud Mental - SIPROSA,Dr. Miguel Ferre Contreras,
90.  Tucumán,2. Secundaria,2024-08-28,2023,PROGRAMA PROVINCIAL DE ENDOMETRIOSIS,,PROGRAMA PROVINCIAL DE ENDOMETRIOSIS,Ministerio de Salud ,Secretaría Ejecutiva Médica,,Dirección de Salud Mental - SIPROSA,,3-Sin Información,,4-Salud,2-No contributivo,"El objetivo principal del programa es desarrollar acciones que visibilicen y aborden una enfermedad silenciosa que impacta en las mujeres en edad reproductiva. Esto implica la creación de una red de atención que permita a todas las mujeres en la provincia acceder a un diagnóstico temprano, tratamiento y seguimiento de la enfermedad.","Visibilización de la Enfermedad: Aumentar la conciencia pública sobre esta enfermedad silenciosa que afecta a las mujeres en edad reproductiva para que puedan reconocer los síntomas y buscar atención médica temprana ; Red de Atención: Establecer una red de atención médica accesible y efectiva que permita a todas las mujeres de la provincia acceder a servicios de diagnóstico, tratamiento y seguimiento de la enfermedad.",SD,SD,SD,SD,SD,"Concientización Pública: El programa lleva a cabo campañas de concientización pública para educar a las mujeres en edad reproductiva sobre la enfermedad y sus síntomas. Esto ayuda a que las mujeres reconozcan los signos de la enfermedad y busquen atención médica temprana ; Red de Atención Médica: Se establece una red de atención médica que abarca toda la provincia. Esta red incluye centros de diagnóstico, clínicas de tratamiento y servicios de seguimiento. El objetivo es garantizar que todas las mujeres, sin importar su ubicación, tengan acceso a atención médica de calidad ; Diagnóstico Temprano: Se promueve el diagnóstico temprano de la enfermedad a través de exámenes de detección y pruebas médicas regulares. Esto es fundamental para un tratamiento eficaz ; Tratamiento y Seguimiento: Las mujeres diagnosticadas con la enfermedad reciben tratamiento médico adecuado y se realiza un seguimiento continuo para evaluar su progreso y ajustar el tratamiento según sea necesario.",,,,,Director de Salud Mental - SIPROSA,Dr. Miguel Ferre Contreras,
90.  Tucumán,2. Secundaria,2024-08-28,2023,PROGRAMA TRASCENDER ACOMPAÑADOS,,PROGRAMA TRASCENDER ACOMPAÑADOS,Ministerio de Salud ,Secretaría Ejecutiva Médica,,Dirección de Salud Mental - SIPROSA,,3-Sin Información,,4-Salud,2-No contributivo,"El objetivo principal del programa es proporcionar asistencia y apoyo a las familias que enfrentan una pérdida gestacional y perinatal. Esta asistencia se lleva a cabo a través de una atención humanizada, especializada y protocolizada.","Atención Humanizada: Ofrecer a las familias un enfoque de atención humanizada que respete sus necesidades emocionales y psicológicas durante el proceso de pérdida gestacional y perinatal ; Atención Especializada: Proporcionar atención médica y psicológica especializada para abordar de manera integral las necesidades de las familias en esta situación ; Protocolización de la Atención: Establecer protocolos y procedimientos específicos para la atención de pérdidas gestacionales y perinatales, garantizando que se brinde un estándar de atención consistente y de alta calidad.",SD,SD,SD,SD,SD,"Asesoramiento Psicológico: Se ofrece asesoramiento y apoyo psicológico a las familias afectadas para ayudarles a enfrentar y procesar sus emociones y sentimientos en torno a la pérdida ; Atención Médica Especializada: Se brinda atención médica especializada tanto a las madres como a los recién nacidos en caso de pérdida perinatal. Esto incluye el manejo de complicaciones médicas y el apoyo en la toma de decisiones médicas ; Apoyo en el Duelo: Se proporciona apoyo durante el proceso de duelo, ayudando a las familias a comprender y atravesar las diferentes etapas del duelo ; Acompañamiento: El programa ofrece acompañamiento continuo a las familias, asegurándose de que no se sientan solas durante este difícil período ; Educación y Concientización: Se llevan a cabo campañas de educación y concientización para informar a la comunidad sobre la importancia de la atención humanizada y especializada en casos de pérdida gestacional y perinatal.",,,,,Director de Salud Mental - SIPROSA,Dr. Miguel Ferre Contreras,
90.  Tucumán,2. Secundaria,2024-08-28,2023,PROGRAMA PROVINCIAL RUTA DE LA EMBARAZADA Y DEL NIÑO,,PROGRAMA PROVINCIAL RUTA DE LA EMBARAZADA Y DEL NIÑO,Ministerio de Salud ,Secretaría Ejecutiva Médica,,Dirección de Salud Mental - SIPROSA,,3-Sin Información,,4-Salud,2-No contributivo,El objetivo principal del programa es garantizar la atención y el cuidado integral en salud de la mujer y el niño durante el embarazo y la primera infancia.,Mejora de la Captación de Embarazadas: Garantizar que un mayor número de mujeres embarazadas inicie su control prenatal durante el primer trimestre de gestación ; Control y Seguimiento del Crecimiento y Desarrollo Infantil: Realizar controles regulares de crecimiento y desarrollo en niños durante la primera infancia.,SD,SD,SD,SD,SD,"Atención Prenatal: Se brinda atención médica y seguimiento a las mujeres embarazadas desde el primer trimestre de gestación. Esto incluye exámenes médicos, pruebas de laboratorio y asesoramiento sobre la salud durante el embarazo ; Control del Crecimiento y Desarrollo Infantil: Se realizan controles periódicos para evaluar el crecimiento y desarrollo de los niños durante su primera infancia. Esto ayuda a identificar posibles problemas de salud o desarrollo temprano y a tomar medidas preventivas o de intervención cuando sea necesario ; Educación y Asesoramiento: Se ofrece educación y asesoramiento a las madres sobre temas relacionados con la salud materna e infantil, incluyendo la importancia de la nutrición adecuada, la lactancia materna y la atención a los recién nacidos ; Acceso a Servicios de Salud: El programa se asegura de que las mujeres embarazadas y los niños tengan acceso a servicios de salud de calidad, incluyendo consultas médicas, vacunación y servicios de emergencia cuando sea necesario ; Seguimiento Continuo: Se establece un seguimiento continuo de las mujeres embarazadas y los niños para garantizar que reciban la atención médica necesaria en todas las etapas del embarazo y la primera infancia. Recopilación de Datos y Estadísticas: Se recopilan datos y estadísticas sobre la captación de embarazadas y los controles de crecimiento y desarrollo infantil para evaluar el impacto del programa y realizar mejoras si es necesario.",,,,,Director de Salud Mental - SIPROSA,Dr. Miguel Ferre Contreras,
90.  Tucumán,2. Secundaria,2024-08-28,2023,PROGRAMA BRIGADA BRONQUIOLITIS,,PROGRAMA BRIGADA BRONQUIOLITIS,Ministerio de Salud ,Secretaría Ejecutiva Médica,Subsecretaria de Estado,Dirección General de Programa Integrado de Salud,,3-Sin Información,,4-Salud,2-No contributivo,"El objetivo principal del programa es combatir la bronquiolitis, una enfermedad respiratoria que afecta a niños y niñas, mediante la prestación de una atención integral que incluye prevención, asistencia y acompañamiento.","Prevención de la Bronquiolitis: Implementar estrategias y medidas de prevención para reducir la incidencia del bronquiolitis en niños y niñas ; Asistencia Médica: Brindar asistencia médica y cuidados especializados a los niños y niñas que desarrollen bronquiolitis, garantizando una atención de calidad y oportuna ; Acompañamiento a las Familias: Proporcionar apoyo y acompañamiento a las familias de los niños y niñas afectados por bronquiolitis, incluyendo educación sobre el manejo de la enfermedad.",SD,SD,SD,SD,SD,"Profesionales Capacitados: El programa cuenta con profesionales capacitados y entrenados en la prevención, diagnóstico y tratamiento del bronquiolitis. Prevención: Se implementan medidas de prevención, que pueden incluir la promoción de la lactancia materna, la vacunación, la higiene adecuada y otras estrategias para reducir el riesgo de bronquiolitis en niños y niñas ; Asistencia Médica: Los profesionales del programa brindan atención médica a los niños y niñas que desarrollan bronquiolitis, incluyendo el diagnóstico temprano, el tratamiento y el seguimiento ; Acompañamiento a las Familias: Se ofrece apoyo emocional y educación a las familias para que puedan comprender y manejar la enfermedad de sus hijos de manera efectiva ; Nodos de Referencia: Se establecen nodos de referencia en diferentes ubicaciones para garantizar que los niños y niñas afectados tengan acceso a atención médica de calidad en su área ; Recopilación de Datos: Se recopilan datos sobre el número de casos atendidos, la eficacia de las estrategias de prevención y otros indicadores relevantes para evaluar el impacto del programa.",,,,,Director General de Programa Integrado de Salud,Dra. Eliana Orellana,
90.  Tucumán,2. Secundaria,2024-08-28,2023,PROGRAMA CONTROL DE DENGUE,,PROGRAMA CONTROL DE DENGUE,Ministerio de Salud ,Secretaría Ejecutiva Médica,Subsecretaria de Estado,Dirección Gral. Del Programa Integrado de Salud,,3-Sin Información,,5-Educación,2-No contributivo,"El objetivo principal del programa es controlar y reducir el impacto del dengue en la población a través de una serie de acciones que abarcan la vigilancia epidemiológica, la búsqueda activa de casos, la promoción y prevención de la enfermedad, así como la gestión y el control del vector que la transmite.","Vigilancia Epidemiológica: Realizar un seguimiento constante de la situación epidemiológica del dengue, incluyendo la identificación y notificación de casos, para comprender la magnitud y distribución de la enfermedad ; Búsqueda Activa de Casos: Implementar estrategias para detectar y diagnosticar casos de dengue de manera temprana, lo que facilita la atención médica oportuna y la prevención de la propagación ; Promoción y Prevención: Llevar a cabo campañas de promoción y prevención que informen a la población sobre las medidas de prevención del dengue, incluyendo la eliminación de criaderos de mosquitos y la protección personal ; Gestión y Control Vectorial: Realizar operativos para gestionar y controlar la población del mosquito Aedes aegypti, que es el vector que transmite el dengue, a través de la inspección y eliminación de posibles criaderos y otras medidas de control.",SD,SD,SD,SD,SD,"Vigilancia Epidemiológica: Se recopilan y analizan datos relacionados con la incidencia de casos de dengue para monitorear la propagación de la enfermedad ; Búsqueda Activa de Casos: Se realizan esfuerzos activos para detectar casos de dengue a través de pruebas de diagnóstico y notificación de casos sospechosos ; Promoción y Prevención: Se llevan a cabo campañas de concientización pública que educan a la población sobre cómo prevenir la enfermedad, incluyendo la eliminación de recipientes con agua estancada y el uso de repelentes ; Control Vectorial: Se realizan operativos para inspeccionar viviendas y áreas comunitarias en busca de posibles criaderos de mosquitos y se eliminan aquellos que representan un riesgo.",,,,,Director General Del Programa Integrado de Salud,Dra. Graciela Lavado,
90.  Tucumán,2. Secundaria,2024-08-28,2023,PROGRAMA PROVINCIAL DE LUCHA ANTITABÁQUICA,,PROGRAMA PROVINCIAL DE LUCHA ANTITABÁQUICA,Ministerio de Salud ,Secretaría Ejecutiva Médica,Subsecretaria de Estado,Dirección Gral. Del Programa Integrado de Salud,,3-Sin Información,,5-Educación,2-No contributivo,El objetivo principal del programa es reducir la morbilidad y mortalidad atribuible al tabaco en la provincia de Tucumán a través de una serie de acciones que abordan tanto la prevención como la protección de la población contra los efectos del tabaco.,"Reducir la Iniciación Tabáquica: Implementar estrategias dirigidas principalmente a niños y jóvenes para prevenir que inicien el consumo de tabaco ; Proteger a los Fumadores Involuntarios: Promover ambientes 100% libres de humo de tabaco en instituciones provinciales, como escuelas, empresas y oficinas, para proteger a las personas no fumadoras de la exposición al humo de tabaco ; Promover la Cesación Tabáquica: Brindar apoyo y recursos para que las personas que fuman puedan dejar de hacerlo, promoviendo la cesación tabáquica. Actualizar Datos Epidemiológicos: Recopilar y analizar datos epidemiológicos relacionados con el consumo de tabaco en la población de Tucumán para comprender la situación actual ; Abogar por la Optimización de Leyes de Control del Tabaquismo: Trabajar en la mejora y el fortalecimiento de las leyes y regulaciones relacionadas con el control del tabaco ; Mantener Vigente la Temática Antitabáquica en la Comunidad: Continuar educando y concientizando a la comunidad sobre los riesgos del tabaco y la importancia de la prevención ; Interactuar con Líderes de Opinión: Colaborar con líderes de opinión en diversos ámbitos para promover la lucha contra el tabaquismo.",SD,SD,SD,SD,SD,Implementación de Estrategias de Prevención: Desarrollo de campañas educativas y programas de prevención dirigidos especialmente a niños y jóvenes para evitar que comiencen a fumar ; Promoción de Ambientes Libres de Humo de Tabaco: Trabajo con instituciones provinciales para crear espacios 100% libres de humo de tabaco. Apoyo a la Cesación Tabáquica: Proporcionar recursos y apoyo a las personas que desean dejar de fumar ; Recopilación de Datos Epidemiológicos: Monitoreo constante de datos relacionados con el consumo de tabaco en la población; Abogacía para Mejoras Legales: Trabajo para fortalecer las leyes y regulaciones relacionadas con el control del tabaco ; Educación Continua: Realización de actividades educativas y de concientización en la comunidad sobre los riesgos del tabaco ; Colaboración con Líderes de Opinión: Interacción con líderes de opinión en diversos sectores para promover la lucha contra el tabaquismo.,,,,,Director General Del Programa Integrado de Salud,Dra. Graciela Lavado,
90.  Tucumán,2. Secundaria,2024-08-28,2023,PROGRAMA NACIONAL DE SALUD ESCOLAR (PRO SA NE),,PROGRAMA NACIONAL DE SALUD ESCOLAR (PRO SA NE),Ministerio de Salud ,Secretaría Ejecutiva Médica,Subsecretaria de Estado,Dirección Gral. Del Programa Integrado de Salud,,3-Sin Información,,4-Salud,2-No contributivo,"El objetivo principal del programa es realizar evaluaciones de salud en la población escolar para obtener un diagnóstico de la situación de salud de los niños y niñas en edad escolar. Además, busca identificar casos que requieran atención por parte del sistema de salud y tomar las medidas necesarias para asegurar que todos estos niños y niñas accedan a los servicios de salud locales. También promueve la colaboración y coordinación entre el primer nivel de atención médica y el sistema educativo.",Evaluar la Salud de la Población Escolar: Realizar evaluaciones de salud periódicas en los niños y niñas en edad escolar para identificar cualquier problema de salud que requiera atención ; Facilitar el Acceso a la Atención Médica: Garantizar que aquellos niños y niñas que requieran atención médica reciban la atención adecuada y oportuna ; Promover la Prevención y la Promoción de la Salud: Fomentar acciones de prevención y promoción de la salud en la población escolar para prevenir problemas de salud y promover estilos de vida saludables ; Articular el Sistema de Salud con el Sistema Educativo: Establecer una colaboración efectiva entre el sistema de salud y el sistema educativo para abordar las necesidades de salud de los niños y niñas en edad escolar.,SD,SD,SD,SD,SD,"Evaluaciones de Salud Escolar: Realización de evaluaciones de salud en la población escolar, que pueden incluir exámenes médicos, pruebas de salud, y otras evaluaciones para identificar problemas de salud ; Acceso a la Atención Médica: Garantizar que los niños y niñas que requieran atención médica reciban el tratamiento y seguimiento necesario ; Promoción de la Salud: Desarrollar programas de promoción de la salud en las escuelas para fomentar estilos de vida saludables y prevenir problemas de salud ; Coordinación con el Sistema Educativo: Colaborar estrechamente con las instituciones educativas para asegurar que las necesidades de salud de los estudiantes sean atendidas de manera efectiva.",,,,,Director General Del Programa Integrado de Salud,Dra. Graciela Lavado,
90.  Tucumán,2. Secundaria,2024-08-28,2023,"PROGRAMA DE PREVENCIÓN, PROTECCIÓN Y ASISTENCIA DE LAS VÍCTIMAS DE LA TRATA Y TRÁFICO DE PERSONAS",,"PROGRAMA DE PREVENCIÓN, PROTECCIÓN Y ASISTENCIA DE LAS VÍCTIMAS DE LA TRATA Y TRÁFICO DE PERSONAS",Ministerio de Gobierno y Justicia,Secretaría de Estado de derechos Humanos,,,,3-Sin Información,,7-Prevención de las violencias y asistencia a sus víctimas ,2-No contributivo,Brindar abordaje adecuado a las víctimas de trata y tráfico de personas.,SD,SD,Todos los habitantes de la Provincia de Tucumán.,SD,SD,Total provincia.,Consiste en el acompañamiento y abordaje de víctimas de trata y tráfico de personas y en el cumplimiento efectivo del protocolo de testigo protegido.,,,,,,Erika Brunotto,
90.  Tucumán,2. Secundaria,2024-08-28,2023,PROGRAMA DE ASISTENCIA A LAS VÍCTIMAS DEL DELITO,,PROGRAMA DE ASISTENCIA A LAS VÍCTIMAS DEL DELITO,Ministerio de Gobierno y Justicia,Secretaría de Estado de Gobierno y Justicia,,,,3-Sin Información,,7-Prevención de las violencias y asistencia a sus víctimas ,2-No contributivo,"Brindar asesoramiento legal y gratuito sobre casos en particular y ejercer la representación de las víctimas, en caso de que no tuvieran los medios necesarios.",SD,SD,Todos los habitantes de la Provincia de Tucumán.,SD,SD,Total provincia.,Asesoramiento legal y gratuito sobre casos en particular relacionados con el delito.,,,,,,Sr. Luis Campos,
90.  Tucumán,2. Secundaria,2024-08-28,2023,PROGRAMA CONSTRUYENDO TU IDENTIDAD,,PROGRAMA CONSTRUYENDO TU IDENTIDAD,Ministerio de Gobierno y Justicia,Secretaría de Estado de Gobierno y Justicia,,,,3-Sin Información,,"6-Inclusión Social, Cuidados y Crianzas",2-No contributivo,Realizar las actualizaciones documentarias (DNI) exigidas por la ley.,SD,SD,Todos los habitantes de la Provincia de Tucumán.,SD,SD,Total provincia.,"Este programa consiste en el recorrido de instituciones educativas de la Capital, a fin de realizar las actualizaciones documentarias (DNI) exigidas por la ley.",,,,,,Sr. Luis Campos,
90.  Tucumán,2. Secundaria,2024-08-28,2023,PROGRAMA TUCUMANITOS,,PROGRAMA TUCUMANITOS,Ministerio de Gobierno y Justicia,Secretaría de Estado de Gobierno y Justicia,,,,3-Sin Información,,"6-Inclusión Social, Cuidados y Crianzas",2-No contributivo,Registrar fehacientemente a los recién nacidos en neonatología.,SD,SD,Todos los habitantes de la Provincia de Tucumán.,SD,SD,Total provincia.,Consiste en un servicio que presta el Registro Civil de una prestación en sanatorios con la finalidad de registrar a los recién nacidos en neonatología.,,,,,,Sr. Luis Campos,
90.  Tucumán,2. Secundaria,2024-08-28,2023,PROGRAMA CONSUMO CUIDADO,,PROGRAMA CONSUMO CUIDADO,Ministerio de Gobierno y Justicia,Secretaría de Estado de Gobierno y Justicia,,,,3-Sin Información,,5-Educación,2-No contributivo,"Brindar asesoramiento calificado y solución inmediata a los consumidores, no debiendo esperar hasta la fecha de una audiencia de conciliación para la búsqueda de un resultado favorable.",SD,SD,Todos los habitantes de la Provincia de Tucumán.,SD,SD,Total provincia.,Consiste en el asesoramiento a consumidores en conflicto.,,,,,,Sr. Luis Campos,
90.  Tucumán,2. Secundaria,2024-08-28,2023,PROGRAMA CONOCIENDO MI PROVINCIA Y SU HISTORIA,,PROGRAMA CONOCIENDO MI PROVINCIA Y SU HISTORIA,Ministerio de Gobierno y Justicia,Secretaría de Estado de Gobierno y Justicia,,,,3-Sin Información,,5-Educación,2-No contributivo,Conocer los lugares emblemáticos del casco histórico tucumano.,SD,SD,Todos los habitantes de la Provincia de Tucumán.,SD,SD,Total provincia.,Consiste en un recorrido por el microcentro tucumano y la visita a los principales edificios históricos.,,,,,,Sr. Luis Campos,
90.  Tucumán,2. Secundaria,2024-08-28,2023,CAPACITACIÓN EN AMBIENTE EN EL MARCO DE LA LEY YOLANDA - LEY NACIONAL N°27592,,CAPACITACIÓN EN AMBIENTE EN EL MARCO DE LA LEY YOLANDA - LEY NACIONAL N°27592,Ministerio de Desarrollo Productivo,Secretaría de Estado de Medio Ambiente,Subsecretaría de Protección Ambiental,Dirección de Medio Ambiente,,3-Sin Información,,5-Educación,2-No contributivo,"Garantizar la formación integral en ambiente, con perspectiva de desarrollo sostenible y especial énfasis en cambio climático, para todas las personas que trabajan en la administración pública en todos sus niveles y jerarquías en los tres poderes del Estado.","Promoción del Desarrollo Sostenible: Fomentar la comprensión y promoción del desarrollo sostenible en todos los niveles de la administración pública; Concientización sobre el Cambio Climático: Sensibilizar a los empleados públicos acerca de la importancia del cambio climático, sus efectos y las medidas para mitigarlo y adaptarse a él; Mejora en la Capacidad de Respuesta: Incrementar la capacidad humana e institucional para abordar cuestiones relacionadas con el cambio climático, incluyendo la reducción de sus efectos y la preparación para situaciones de emergencia climática",SD,SD,SD,SD,SD,"Capacitación Integral: El programa incluirá un plan de capacitación completo que cubrirá una amplia gama de temas ambientales, con especial énfasis en el cambio climático. Este componente se llevará a cabo a través de talleres, cursos, materiales educativos y sesiones de formación impartidas por expertos en el campo. Asesoramiento y Consultoría: Se proporcionará asesoramiento y consultoría a los diferentes niveles de la administración pública para ayudar en la implementación de políticas y estrategias relacionadas con el ambiente y el cambio climático. Sensibilización y Campañas de Concientización: Se llevarán a cabo campañas de sensibilización dirigidas a los empleados públicos y al público en general para promover la conciencia sobre la importancia de la protección del medio ambiente y la lucha contra el cambio climático. Evaluación y Seguimiento: Se establecerán mecanismos de seguimiento y evaluación para medir el impacto de la capacitación y las acciones implementadas en relación con los objetivos del programa. Integración con los ODS: El programa trabajará en estrecha colaboración con las metas del ODS ""Acción por el clima"", incorporando medidas relativas al cambio climático en las políticas, estrategias y planes nacionales. Se buscará una alineación efectiva con las metas de desarrollo sostenible. Alerta Temprana y Preparación para Emergencias: Como parte de la capacitación, se incluirá la preparación para situaciones de emergencia relacionadas con el cambio climático, como inundaciones, sequías u otros eventos climáticos extremos.",,,,,,Dra. Florencia Sayago,
